ID	Name	Latest	HasUnreads	Mentions
C08K67XH492	project-pikachu-support-evolution	2025-05-05 15:59	false	0
CFD8WK17X	python_agent	2026-01-20 15:12	true	0
C01AYL217B8	thank-you	2026-01-15 11:30	true	0
C03KWT1PV36	eop-dev	2026-01-05 15:14	true	0
C06V7PS6JCB	tools-google-gemini	2025-12-11 15:36	true	0
C08EAJX86KD	_ai_ueba	2025-08-17 22:40	false	0
D05KYSUJ36U	(DM or MPIM)	2026-01-20 16:04	false	0
D07QARBS8TD	(DM or MPIM)	2026-01-15 15:05	false	0
GFA6XTRRR	engineering-managers	2025-12-15 11:57	false	0
CFAMHCKJ8	node	2026-01-15 14:53	true	0
CFAUPL534	docs	2026-01-21 16:11	true	0
CFBBP6G3T	customer-medtronic	2026-01-16 13:23	true	0
C082TCKEFEU	monthly-saas-release	2025-07-03 16:30	false	0
C08HUE33079	activitylogs	2025-04-15 15:53	false	0
C07KPQTSZ3M	welcome-to-bob	2025-09-03 07:57	false	0
D038CSPSVMJ	(DM or MPIM)	2026-01-20 13:24	false	0
C04P62NDT3J	sir-alarms	2026-01-21 09:49	true	0
CFGDL2327	agents	2026-01-08 03:27	true	0
CH3BS21QA	teamserver-deploys	2026-01-21 21:52	true	0
C020BRLD9N3	trophy-lounge	2025-10-23 13:59	true	0
DQB1SUSMP	(DM or MPIM)	2026-01-19 04:47	false	0
D020MN9Q77E	(DM or MPIM)	2026-01-16 15:50	false	0
C03TSU00NK1	access_control_for_everyone	2026-01-21 15:55	true	0
C060MAT619N	ext-partner-contrast-nucleus	2023-10-27 13:31	false	0
D01E5LCQF7Z	(DM or MPIM)	2026-01-21 16:34	false	0
DQNS4GZ1V	(DM or MPIM)	2026-01-21 19:53	true	36
CFHQ9H9BQ	customer-johnhancock	2026-01-08 09:05	true	0
C07DHQR4HBR	business-intelligence	2026-01-16 14:48	true	0
C09B2M674QH	pnc-datapower-issue	2025-08-18 18:52	false	0
C09LNN04EBT	aiml-team	2026-01-21 16:05	true	0
C0561BNB86B	ai-custgpt	2023-09-11 10:21	false	0
C08PFPG27HA	deployment-hub-support	2025-06-19 12:34	true	0
C09D64B1JQ2	renewal-herodevs	2025-10-06 15:31	true	0
D087KBNB0CS	(DM or MPIM)	2026-01-20 15:59	false	0
C08BDJT5ZEU	_ai_adr_summary	2025-02-03 14:09	false	0
D091V4WLR35	(DM or MPIM)	2026-01-20 12:51	false	0
CUYA2K19U	github-help	2025-09-19 14:03	false	0
C06VABP9A76	tools-google-meet	2025-04-16 11:06	false	0
CUUKKBUJX	_teamsever_appdev	2026-01-14 10:17	true	0
C0814Q1HFJM	_dashboard_dev	2025-04-03 14:44	false	0
C09B285R40P	verizon-eop-sizing	2025-10-09 04:31	false	0
D0AA1TS24P2	(DM or MPIM)	2026-01-19 04:18	false	0
CFESHTKV5	customer-pnc	2026-01-21 16:32	true	0
CFFFZ203S	protect	2025-12-05 09:28	true	0
C062CL8GXQW	_fsg_team_cratus	2026-01-15 09:00	true	0
C09MKCJQNDN	constellation	2026-01-21 15:53	true	0
C09MTADRKEF	openenrollment	2026-01-17 14:34	true	0
D09NYFPRAEN	(DM or MPIM)	2025-10-27 12:49	false	0
C031X6Q1QE5	incident-info-radiator	2025-11-06 15:22	true	0
C08E1JJ0RP0	se-pm-team	2026-01-15 08:51	true	0
D0200UZHJKD	(DM or MPIM)	2026-01-21 15:30	false	0
GMK40BRTQ	ts_support	2026-01-16 09:21	true	0
C08TPPTV205	ai-route-coverage	2025-05-28 08:50	false	0
CFBSJR8HM	engineering	2026-01-16 16:46	true	0
C05813C6G05	customer-tiaa	2026-01-19 11:08	true	0
C094Q4BSYL8	northstar-engineering	2025-12-11 10:43	true	0
C09K6RA6YNR	smartfix-contrast-llm-ea	2025-12-10 11:14	false	0
D05FWD28WUW	(DM or MPIM)	2025-12-19 16:09	true	6
D083NR4V9ED	(DM or MPIM)	2026-01-02 15:06	false	0
C09V77ANQ14	mpdm-jake.milstein--melody.scheidler--jeff.williams--dave.martin--chris.edwards-1	2026-01-20 14:45	false	0
CJDFZ1WH5	contrast-labs	2026-01-21 16:05	true	0
G01GEHL0E9Y	_teamserver_learning	2024-06-06 13:24	false	0
C099UPA3SJH	tools-google-agentspace-pilot	2026-01-15 10:52	true	0
C0AAZATFU8Y	mpdm-jake.milstein--shane.schisler--chris.edwards-1	2026-01-21 22:14	true	1
CFED2E05D	product	2026-01-07 13:32	true	0
D0A1PS0S664	(DM or MPIM)	2026-01-15 19:41	false	0
CBTKTLNDU	random	2025-12-01 13:45	true	0
C02EGR06JSU	people-managers	2025-11-21 08:06	true	0
C08NJF68HLJ	mcp-contrast	2026-01-20 12:36	true	0
C03HC2J0LA0	customer-support	2026-01-17 18:00	true	0
C083Y23H22Y	bob-appreciation	2026-01-20 09:00	true	0
D01B9H2T4JE	(DM or MPIM)	2026-01-21 09:14	false	0
C043NLACXNU	shared-dd-contrastsecurity	2025-11-18 10:09	true	0
C058UCY9SRX	extended-leadership-team	2025-05-23 15:33	false	0
C08QE2EK64Q	_ai-auto-remediation	2026-01-21 15:00	false	0
D069KMG8PC0	(DM or MPIM)	2026-01-16 11:54	false	0
C09621047NJ	compass-knowledge	2025-10-20 17:05	true	0
CFC075N7L	customer-discover	2025-11-19 11:53	true	0
G01PW47HZEF	mysqlmeltdown	2025-01-07 18:54	true	0
C07AJQLESSJ	monthly-saas-release-news	2026-01-20 15:07	true	0
